item_id,restaurant_id,name,description,price
MI00271,R0060,Paneer Quinoa Bowl,High-protein bowl with paneer and quinoa,249
MI00272,R0061,Butter Naan,Tandoor-baked naan brushed with butter,49
MI00273,R0061,Dal Makhani,Slow-cooked black lentils with butter,249
MI00274,R0061,Veg Thali,North Indian combo meal with roti and rice,269
MI00275,R0061,Paneer Lababdar,Rich tomato gravy with paneer cubes,289
MI00276,R0061,Butter Chicken,Creamy tomato gravy with tandoori chicken,329
MI00277,R0062,Paneer Lababdar,Rich tomato gravy with paneer cubes,289
MI00278,R0062,Butter Chicken,Creamy tomato gravy with tandoori chicken,329
MI00279,R0062,Butter Naan,Tandoor-baked naan brushed with butter,49
MI00280,R0062,Dal Makhani,Slow-cooked black lentils with butter,249
MI00281,R0063,Podi Dosa,Dosa dusted with podi masala,159
MI00282,R0063,Mini Tiffin,Assorted breakfast platter,189
MI00283,R0063,Idli Vada Combo,Steamed idlis with vada and chutneys,129
MI00284,R0063,Filter Coffee,South Indian filter kaapi,59
MI00285,R0064,Idli Vada Combo,Steamed idlis with vada and chutneys,129
MI00286,R0064,Filter Coffee,South Indian filter kaapi,59
MI00287,R0064,Podi Dosa,Dosa dusted with podi masala,159
MI00288,R0064,Mini Tiffin,Assorted breakfast platter,189
MI00289,R0064,Masala Dosa,Crisp dosa with potato filling,149
MI00290,R0065,Double Ka Meetha,Traditional Hyderabadi dessert,99
MI00291,R0065,Mutton Biryani,Slow-cooked biryani with tender mutton,379
MI00292,R0065,Mirchi Ka Salan,Spicy peanut-coconut curry,79
MI00293,R0065,Paneer Biryani,Fragrant rice layered with paneer masala,259
MI00294,R0066,Mirchi Ka Salan,Spicy peanut-coconut curry,79
MI00295,R0066,Mutton Biryani,Slow-cooked biryani with tender mutton,379
MI00296,R0066,Paneer Biryani,Fragrant rice layered with paneer masala,259
MI00297,R0066,Chicken Dum Biryani,Hyderabadi-style chicken biryani,299
MI00298,R0067,Veg Momos,Steamed momos with red chutney,129
MI00299,R0067,Chicken Shawarma Roll,Loaded shawarma with garlic mayo,189
MI00300,R0067,Chicken Momos,Juicy steamed chicken momos,149
MI00301,R0067,Pav Bhaji,Buttery bhaji served with pav,149
MI00302,R0067,Paneer Kathi Roll,Roomali roll stuffed with paneer tikka,169
MI00303,R0068,Paneer Kathi Roll,Roomali roll stuffed with paneer tikka,169
MI00304,R0068,Chicken Shawarma Roll,Loaded shawarma with garlic mayo,189
MI00305,R0068,Veg Momos,Steamed momos with red chutney,129
MI00306,R0068,Pav Bhaji,Buttery bhaji served with pav,149
MI00307,R0069,Raj Kachori,Crisp kachori loaded with chaat toppings,139
MI00308,R0069,Sev Puri,Mumbai-style street snack,99
MI00309,R0069,Papdi Chaat,"Papdi with potatoes, curd, and chutneys",109
MI00310,R0069,Pani Puri Kit,Take-home golgappa set,129
MI00311,R0070,Sev Puri,Mumbai-style street snack,99
MI00312,R0070,Dahi Puri,Crispy puris with curd and chutneys,119
MI00313,R0070,Pani Puri Kit,Take-home golgappa set,129
MI00314,R0070,Raj Kachori,Crisp kachori loaded with chaat toppings,139
MI00315,R0071,Rasmalai,Soft rasmalai in saffron milk,109
MI00316,R0071,Gulab Jamun,Warm gulab jamun with syrup,89
MI00317,R0071,Matka Kulfi,Traditional kulfi served in clay pot,99
MI00318,R0071,Chocolate Brownie,Brownie with hot chocolate sauce,139
MI00319,R0071,Falooda,Rose falooda with ice cream,149
MI00320,R0072,Rasmalai,Soft rasmalai in saffron milk,109
MI00321,R0072,Falooda,Rose falooda with ice cream,149
MI00322,R0072,Chocolate Brownie,Brownie with hot chocolate sauce,139
MI00323,R0072,Matka Kulfi,Traditional kulfi served in clay pot,99
MI00324,R0073,Farmhouse Pizza,"Capsicum, mushroom, onion, tomato",259
MI00325,R0073,Garlic Breadsticks,Garlicky breadsticks with dip,119
MI00326,R0073,Chicken Keema Pizza,Spiced keema pizza with cheese,299
MI00327,R0073,Choco Lava Cake,Warm chocolate-filled cake,99
MI00328,R0073,Paneer Tikka Pizza,Pizza topped with paneer tikka and onions,279
MI00329,R0074,Choco Lava Cake,Warm chocolate-filled cake,99
MI00330,R0074,Chicken Keema Pizza,Spiced keema pizza with cheese,299
MI00331,R0074,Garlic Breadsticks,Garlicky breadsticks with dip,119
MI00332,R0074,Paneer Tikka Pizza,Pizza topped with paneer tikka and onions,279
MI00333,R0075,Cold Coffee,Iced coffee with vanilla ice cream,119
MI00334,R0075,Masala Fries,Fries tossed in Indian spice mix,99
MI00335,R0075,Peri Peri Paneer Burger,Paneer patty with peri peri sauce,179
MI00336,R0075,Aloo Tikki Burger,Classic Indian veg burger,129
MI00337,R0076,Masala Fries,Fries tossed in Indian spice mix,99
MI00338,R0076,Chicken Maharaja Burger,Double chicken burger with signature sauce,229
MI00339,R0076,Peri Peri Paneer Burger,Paneer patty with peri peri sauce,179
MI00340,R0076,Cold Coffee,Iced coffee with vanilla ice cream,119
MI00341,R0076,Aloo Tikki Burger,Classic Indian veg burger,129
MI00342,R0077,Chilli Paneer,Paneer tossed in spicy chilli sauce,189
MI00343,R0077,Veg Hakka Noodles,Indo-Chinese wok tossed noodles,169
MI00344,R0077,Chicken Fried Rice,Classic fried rice with chicken,199
MI00345,R0077,Schezwan Momos,Momos tossed in schezwan sauce,159
MI00346,R0078,Schezwan Momos,Momos tossed in schezwan sauce,159
MI00347,R0078,Chicken Manchurian,Juicy chicken balls in gravy,219
MI00348,R0078,Chilli Paneer,Paneer tossed in spicy chilli sauce,189
MI00349,R0078,Chicken Fried Rice,Classic fried rice with chicken,199
MI00350,R0079,Chicken Millet Bowl,Millet bowl with grilled chicken,279
MI00351,R0079,Greek Yogurt Parfait,"Yogurt, fruit, and granola",159
MI00352,R0079,Paneer Quinoa Bowl,High-protein bowl with paneer and quinoa,249
MI00353,R0079,Sprouts Chaat,Protein-rich sprout salad,149
MI00354,R0079,Cold Pressed Juice,Seasonal fruit and veggie juice,129
MI00355,R0080,Paneer Quinoa Bowl,High-protein bowl with paneer and quinoa,249
MI00356,R0080,Sprouts Chaat,Protein-rich sprout salad,149
MI00357,R0080,Cold Pressed Juice,Seasonal fruit and veggie juice,129
MI00358,R0080,Greek Yogurt Parfait,"Yogurt, fruit, and granola",159
MI00359,R0081,Butter Chicken,Creamy tomato gravy with tandoori chicken,329
MI00360,R0081,Dal Makhani,Slow-cooked black lentils with butter,249
MI00361,R0081,Veg Thali,North Indian combo meal with roti and rice,269
MI00362,R0081,Butter Naan,Tandoor-baked naan brushed with butter,49
MI00363,R0081,Paneer Lababdar,Rich tomato gravy with paneer cubes,289
MI00364,R0082,Veg Thali,North Indian combo meal with roti and rice,269
MI00365,R0082,Butter Chicken,Creamy tomato gravy with tandoori chicken,329
MI00366,R0082,Butter Naan,Tandoor-baked naan brushed with butter,49
MI00367,R0082,Paneer Lababdar,Rich tomato gravy with paneer cubes,289
MI00368,R0083,Idli Vada Combo,Steamed idlis with vada and chutneys,129
MI00369,R0083,Mini Tiffin,Assorted breakfast platter,189
MI00370,R0083,Masala Dosa,Crisp dosa with potato filling,149
MI00371,R0083,Podi Dosa,Dosa dusted with podi masala,159
MI00372,R0084,Podi Dosa,Dosa dusted with podi masala,159
MI00373,R0084,Mini Tiffin,Assorted breakfast platter,189
MI00374,R0084,Filter Coffee,South Indian filter kaapi,59
MI00375,R0084,Masala Dosa,Crisp dosa with potato filling,149
MI00376,R0084,Idli Vada Combo,Steamed idlis with vada and chutneys,129
MI00377,R0085,Paneer Biryani,Fragrant rice layered with paneer masala,259
MI00378,R0085,Mutton Biryani,Slow-cooked biryani with tender mutton,379
MI00379,R0085,Mirchi Ka Salan,Spicy peanut-coconut curry,79
MI00380,R0085,Chicken Dum Biryani,Hyderabadi-style chicken biryani,299
MI00381,R0085,Double Ka Meetha,Traditional Hyderabadi dessert,99
MI00382,R0086,Mutton Biryani,Slow-cooked biryani with tender mutton,379
MI00383,R0086,Paneer Biryani,Fragrant rice layered with paneer masala,259
MI00384,R0086,Chicken Dum Biryani,Hyderabadi-style chicken biryani,299
MI00385,R0086,Mirchi Ka Salan,Spicy peanut-coconut curry,79
MI00386,R0087,Paneer Kathi Roll,Roomali roll stuffed with paneer tikka,169
MI00387,R0087,Pav Bhaji,Buttery bhaji served with pav,149
MI00388,R0087,Veg Momos,Steamed momos with red chutney,129
MI00389,R0087,Chicken Shawarma Roll,Loaded shawarma with garlic mayo,189
MI00390,R0088,Veg Momos,Steamed momos with red chutney,129
MI00391,R0088,Chicken Momos,Juicy steamed chicken momos,149
MI00392,R0088,Paneer Kathi Roll,Roomali roll stuffed with paneer tikka,169
MI00393,R0088,Pav Bhaji,Buttery bhaji served with pav,149
MI00394,R0088,Chicken Shawarma Roll,Loaded shawarma with garlic mayo,189
MI00395,R0089,Raj Kachori,Crisp kachori loaded with chaat toppings,139
MI00396,R0089,Pani Puri Kit,Take-home golgappa set,129
MI00397,R0089,Papdi Chaat,"Papdi with potatoes, curd, and chutneys",109
MI00398,R0089,Sev Puri,Mumbai-style street snack,99
MI00399,R0089,Dahi Puri,Crispy puris with curd and chutneys,119
MI00400,R0090,Pani Puri Kit,Take-home golgappa set,129
MI00401,R0090,Dahi Puri,Crispy puris with curd and chutneys,119
MI00402,R0090,Raj Kachori,Crisp kachori loaded with chaat toppings,139
MI00403,R0090,Sev Puri,Mumbai-style street snack,99
MI00404,R0090,Papdi Chaat,"Papdi with potatoes, curd, and chutneys",109
MI00405,R0091,Matka Kulfi,Traditional kulfi served in clay pot,99
MI00406,R0091,Chocolate Brownie,Brownie with hot chocolate sauce,139
MI00407,R0091,Falooda,Rose falooda with ice cream,149
MI00408,R0091,Rasmalai,Soft rasmalai in saffron milk,109
MI00409,R0091,Gulab Jamun,Warm gulab jamun with syrup,89
MI00410,R0092,Chocolate Brownie,Brownie with hot chocolate sauce,139
MI00411,R0092,Gulab Jamun,Warm gulab jamun with syrup,89
MI00412,R0092,Falooda,Rose falooda with ice cream,149
MI00413,R0092,Matka Kulfi,Traditional kulfi served in clay pot,99
MI00414,R0093,Choco Lava Cake,Warm chocolate-filled cake,99
MI00415,R0093,Garlic Breadsticks,Garlicky breadsticks with dip,119
MI00416,R0093,Chicken Keema Pizza,Spiced keema pizza with cheese,299
MI00417,R0093,Paneer Tikka Pizza,Pizza topped with paneer tikka and onions,279
MI00418,R0094,Paneer Tikka Pizza,Pizza topped with paneer tikka and onions,279
MI00419,R0094,Choco Lava Cake,Warm chocolate-filled cake,99
MI00420,R0094,Chicken Keema Pizza,Spiced keema pizza with cheese,299
MI00421,R0094,Farmhouse Pizza,"Capsicum, mushroom, onion, tomato",259
MI00422,R0095,Masala Fries,Fries tossed in Indian spice mix,99
MI00423,R0095,Peri Peri Paneer Burger,Paneer patty with peri peri sauce,179
MI00424,R0095,Aloo Tikki Burger,Classic Indian veg burger,129
MI00425,R0095,Chicken Maharaja Burger,Double chicken burger with signature sauce,229
MI00426,R0096,Chicken Maharaja Burger,Double chicken burger with signature sauce,229
MI00427,R0096,Aloo Tikki Burger,Classic Indian veg burger,129
MI00428,R0096,Masala Fries,Fries tossed in Indian spice mix,99
MI00429,R0096,Peri Peri Paneer Burger,Paneer patty with peri peri sauce,179
MI00430,R0097,Chicken Fried Rice,Classic fried rice with chicken,199
MI00431,R0097,Chicken Manchurian,Juicy chicken balls in gravy,219
MI00432,R0097,Schezwan Momos,Momos tossed in schezwan sauce,159
MI00433,R0097,Chilli Paneer,Paneer tossed in spicy chilli sauce,189
MI00434,R0098,Chicken Manchurian,Juicy chicken balls in gravy,219
MI00435,R0098,Veg Hakka Noodles,Indo-Chinese wok tossed noodles,169
MI00436,R0098,Schezwan Momos,Momos tossed in schezwan sauce,159
MI00437,R0098,Chicken Fried Rice,Classic fried rice with chicken,199
MI00438,R0098,Chilli Paneer,Paneer tossed in spicy chilli sauce,189
MI00439,R0099,Chicken Millet Bowl,Millet bowl with grilled chicken,279
MI00440,R0099,Greek Yogurt Parfait,"Yogurt, fruit, and granola",159
MI00441,R0099,Cold Pressed Juice,Seasonal fruit and veggie juice,129
MI00442,R0099,Paneer Quinoa Bowl,High-protein bowl with paneer and quinoa,249
MI00443,R0099,Sprouts Chaat,Protein-rich sprout salad,149
MI00444,R0100,Paneer Quinoa Bowl,High-protein bowl with paneer and quinoa,249
MI00445,R0100,Sprouts Chaat,Protein-rich sprout salad,149
MI00446,R0100,Greek Yogurt Parfait,"Yogurt, fruit, and granola",159
MI00447,R0100,Cold Pressed Juice,Seasonal fruit and veggie juice,129
MI00448,R0100,Chicken Millet Bowl,Millet bowl with grilled chicken,279
MI00449,R0101,Dal Makhani,Slow-cooked black lentils with butter,249
MI00450,R0101,Butter Chicken,Creamy tomato gravy with tandoori chicken,329
MI00451,R0101,Butter Naan,Tandoor-baked naan brushed with butter,49
MI00452,R0101,Paneer Lababdar,Rich tomato gravy with paneer cubes,289
MI00453,R0101,Veg Thali,North Indian combo meal with roti and rice,269
MI00454,R0102,Butter Chicken,Creamy tomato gravy with tandoori chicken,329
MI00455,R0102,Dal Makhani,Slow-cooked black lentils with butter,249
MI00456,R0102,Butter Naan,Tandoor-baked naan brushed with butter,49
MI00457,R0102,Paneer Lababdar,Rich tomato gravy with paneer cubes,289
MI00458,R0103,Idli Vada Combo,Steamed idlis with vada and chutneys,129
MI00459,R0103,Mini Tiffin,Assorted breakfast platter,189
MI00460,R0103,Filter Coffee,South Indian filter kaapi,59
MI00461,R0103,Masala Dosa,Crisp dosa with potato filling,149
MI00462,R0104,Mini Tiffin,Assorted breakfast platter,189
MI00463,R0104,Filter Coffee,South Indian filter kaapi,59
MI00464,R0104,Podi Dosa,Dosa dusted with podi masala,159
MI00465,R0104,Idli Vada Combo,Steamed idlis with vada and chutneys,129
MI00466,R0104,Masala Dosa,Crisp dosa with potato filling,149
MI00467,R0105,Mutton Biryani,Slow-cooked biryani with tender mutton,379
MI00468,R0105,Mirchi Ka Salan,Spicy peanut-coconut curry,79
MI00469,R0105,Double Ka Meetha,Traditional Hyderabadi dessert,99
MI00470,R0105,Paneer Biryani,Fragrant rice layered with paneer masala,259
MI00471,R0106,Paneer Biryani,Fragrant rice layered with paneer masala,259
MI00472,R0106,Mutton Biryani,Slow-cooked biryani with tender mutton,379
MI00473,R0106,Mirchi Ka Salan,Spicy peanut-coconut curry,79
MI00474,R0106,Double Ka Meetha,Traditional Hyderabadi dessert,99
MI00475,R0106,Chicken Dum Biryani,Hyderabadi-style chicken biryani,299
MI00476,R0107,Chicken Shawarma Roll,Loaded shawarma with garlic mayo,189
MI00477,R0107,Chicken Momos,Juicy steamed chicken momos,149
MI00478,R0107,Veg Momos,Steamed momos with red chutney,129
MI00479,R0107,Pav Bhaji,Buttery bhaji served with pav,149
MI00480,R0107,Paneer Kathi Roll,Roomali roll stuffed with paneer tikka,169
MI00481,R0108,Veg Momos,Steamed momos with red chutney,129
MI00482,R0108,Pav Bhaji,Buttery bhaji served with pav,149
MI00483,R0108,Chicken Momos,Juicy steamed chicken momos,149
MI00484,R0108,Chicken Shawarma Roll,Loaded shawarma with garlic mayo,189
MI00485,R0109,Sev Puri,Mumbai-style street snack,99
MI00486,R0109,Papdi Chaat,"Papdi with potatoes, curd, and chutneys",109
MI00487,R0109,Dahi Puri,Crispy puris with curd and chutneys,119
MI00488,R0109,Raj Kachori,Crisp kachori loaded with chaat toppings,139
MI00489,R0110,Sev Puri,Mumbai-style street snack,99
MI00490,R0110,Pani Puri Kit,Take-home golgappa set,129
MI00491,R0110,Raj Kachori,Crisp kachori loaded with chaat toppings,139
MI00492,R0110,Papdi Chaat,"Papdi with potatoes, curd, and chutneys",109
MI00493,R0111,Falooda,Rose falooda with ice cream,149
MI00494,R0111,Matka Kulfi,Traditional kulfi served in clay pot,99
MI00495,R0111,Gulab Jamun,Warm gulab jamun with syrup,89
MI00496,R0111,Chocolate Brownie,Brownie with hot chocolate sauce,139
MI00497,R0111,Rasmalai,Soft rasmalai in saffron milk,109
MI00498,R0112,Matka Kulfi,Traditional kulfi served in clay pot,99
MI00499,R0112,Chocolate Brownie,Brownie with hot chocolate sauce,139
MI00500,R0112,Rasmalai,Soft rasmalai in saffron milk,109
MI00501,R0112,Gulab Jamun,Warm gulab jamun with syrup,89
MI00502,R0113,Garlic Breadsticks,Garlicky breadsticks with dip,119
MI00503,R0113,Paneer Tikka Pizza,Pizza topped with paneer tikka and onions,279
MI00504,R0113,Chicken Keema Pizza,Spiced keema pizza with cheese,299
MI00505,R0113,Choco Lava Cake,Warm chocolate-filled cake,99
MI00506,R0113,Farmhouse Pizza,"Capsicum, mushroom, onion, tomato",259
MI00507,R0114,Choco Lava Cake,Warm chocolate-filled cake,99
MI00508,R0114,Garlic Breadsticks,Garlicky breadsticks with dip,119
MI00509,R0114,Farmhouse Pizza,"Capsicum, mushroom, onion, tomato",259
MI00510,R0114,Paneer Tikka Pizza,Pizza topped with paneer tikka and onions,279
MI00511,R0114,Chicken Keema Pizza,Spiced keema pizza with cheese,299
MI00512,R0115,Chicken Maharaja Burger,Double chicken burger with signature sauce,229
MI00513,R0115,Aloo Tikki Burger,Classic Indian veg burger,129
MI00514,R0115,Peri Peri Paneer Burger,Paneer patty with peri peri sauce,179
MI00515,R0115,Cold Coffee,Iced coffee with vanilla ice cream,119
MI00516,R0115,Masala Fries,Fries tossed in Indian spice mix,99
MI00517,R0116,Peri Peri Paneer Burger,Paneer patty with peri peri sauce,179
MI00518,R0116,Masala Fries,Fries tossed in Indian spice mix,99
MI00519,R0116,Cold Coffee,Iced coffee with vanilla ice cream,119
MI00520,R0116,Aloo Tikki Burger,Classic Indian veg burger,129
MI00521,R0116,Chicken Maharaja Burger,Double chicken burger with signature sauce,229
MI00522,R0117,Veg Hakka Noodles,Indo-Chinese wok tossed noodles,169
MI00523,R0117,Schezwan Momos,Momos tossed in schezwan sauce,159
MI00524,R0117,Chicken Fried Rice,Classic fried rice with chicken,199
MI00525,R0117,Chicken Manchurian,Juicy chicken balls in gravy,219
MI00526,R0117,Chilli Paneer,Paneer tossed in spicy chilli sauce,189
MI00527,R0118,Schezwan Momos,Momos tossed in schezwan sauce,159
MI00528,R0118,Chicken Manchurian,Juicy chicken balls in gravy,219
MI00529,R0118,Veg Hakka Noodles,Indo-Chinese wok tossed noodles,169
MI00530,R0118,Chicken Fried Rice,Classic fried rice with chicken,199
MI00531,R0118,Chilli Paneer,Paneer tossed in spicy chilli sauce,189
MI00532,R0119,Paneer Quinoa Bowl,High-protein bowl with paneer and quinoa,249
MI00533,R0119,Greek Yogurt Parfait,"Yogurt, fruit, and granola",159
MI00534,R0119,Sprouts Chaat,Protein-rich sprout salad,149
MI00535,R0119,Chicken Millet Bowl,Millet bowl with grilled chicken,279
MI00536,R0119,Cold Pressed Juice,Seasonal fruit and veggie juice,129
MI00537,R0120,Sprouts Chaat,Protein-rich sprout salad,149
MI00538,R0120,Paneer Quinoa Bowl,High-protein bowl with paneer and quinoa,249
MI00539,R0120,Chicken Millet Bowl,Millet bowl with grilled chicken,279
MI00540,R0120,Cold Pressed Juice,Seasonal fruit and veggie juice,129
MI00541,R0120,Greek Yogurt Parfait,"Yogurt, fruit, and granola",159
