review_id,user_id,order_id,rating,text,platform,city,created_at
REV0004,U02708,ORD004016,4,Nice app. The cart flow is smooth and the offers are useful.,android,delhi_ncr,2024-07-16 12:19:40
REV0007,U00400,ORD005331,5,Delivery was quick and the biryani arrived piping hot. ZaikaNow has been super reliable lately.,android,bengaluru,2024-07-20 04:34:46
REV0005,U02684,ORD010687,4,Consistent delivery experience. Will keep ordering from here.,ios,mumbai,2024-08-05 12:39:39
REV0008,U03718,ORD010970,4,Loved the breakfast combo from Anna Idli House. Easy checkout and fast delivery.,android,mumbai,2024-08-06 11:13:10
REV0003,U01296,ORD012990,5,Great restaurant selection in Bengaluru. Ordering with UPI usually takes seconds.,android,mumbai,2024-08-13 00:01:26
REV0011,U06251,ORD016931,4,Consistent delivery experience. Will keep ordering from here.,ios,hyderabad,2024-08-25 12:51:10
REV0022,U04464,ORD017406,4,Nice app. The cart flow is smooth and the offers are useful.,android,mumbai,2024-08-25 22:50:40
REV0020,U00623,ORD024896,4,Loved the breakfast combo from Anna Idli House. Easy checkout and fast delivery.,ios,bengaluru,2024-09-18 13:29:35
REV0023,U00334,ORD027199,4,Consistent delivery experience. Will keep ordering from here.,android,pune,2024-09-25 01:41:35
REV0016,U05744,ORD027577,4,Nice app. The cart flow is smooth and the offers are useful.,ios,delhi_ncr,2024-09-25 15:48:31
REV0024,U03888,ORD027718,3,"Search feels a bit cluttered, but the order experience is solid overall.",android,mumbai,2024-09-26 09:53:39
REV0019,U05297,ORD029553,5,Delivery was quick and the biryani arrived piping hot. ZaikaNow has been super reliable lately.,android,bengaluru,2024-10-01 21:20:07
REV0017,U05895,ORD041927,4,Consistent delivery experience. Will keep ordering from here.,android,pune,2024-11-04 21:19:28
REV0018,U05615,ORD044788,3,"Search feels a bit cluttered, but the order experience is solid overall.",web,pune,2024-11-13 19:22:13
REV0012,U04288,ORD045005,3,"Search feels a bit cluttered, but the order experience is solid overall.",android,mumbai,2024-11-14 10:55:35
REV0013,U04439,ORD045073,5,Delivery was quick and the biryani arrived piping hot. ZaikaNow has been super reliable lately.,android,mumbai,2024-11-15 04:13:41
REV0021,U03349,ORD046847,5,Great restaurant selection in Bengaluru. Ordering with UPI usually takes seconds.,web,mumbai,2024-11-19 02:15:46
REV0006,U00799,ORD048127,3,"Search feels a bit cluttered, but the order experience is solid overall.",web,mumbai,2024-11-22 20:35:19
REV0009,U04008,ORD049210,5,Great restaurant selection in Bengaluru. Ordering with UPI usually takes seconds.,android,bengaluru,2024-11-26 22:26:24
REV0010,U03707,ORD054409,4,Nice app. The cart flow is smooth and the offers are useful.,web,mumbai,2024-12-09 13:00:36
REV0001,U05597,ORD059268,5,Delivery was quick and the biryani arrived piping hot. ZaikaNow has been super reliable lately.,ios,bengaluru,2024-12-21 20:47:24
REV0015,U00954,ORD060750,5,Great restaurant selection in Bengaluru. Ordering with UPI usually takes seconds.,web,delhi_ncr,2024-12-25 10:19:19
REV0002,U00175,ORD062727,4,Loved the breakfast combo from Anna Idli House. Easy checkout and fast delivery.,ios,mumbai,2024-12-29 00:37:37
REV0014,U00927,ORD064968,4,Loved the breakfast combo from Anna Idli House. Easy checkout and fast delivery.,web,delhi_ncr,2025-01-04 15:04:01
REV0025,U05098,ORD068199,1,UPI got stuck on processing and the order never confirmed. Had to switch apps for dinner.,android,mumbai,2025-01-10 07:21:55
REV0041,U04777,ORD068707,2,Money was debited from my bank app but ZaikaNow still showed payment failed.,web,delhi_ncr,2025-01-12 07:03:28
REV0042,U05538,ORD069166,1,Payment confirmation is broken on Android. Tried twice from Bengaluru and both attempts timed out.,android,delhi_ncr,2025-01-12 18:04:33
REV0028,U03931,ORD068823,4,Food was good but checkout felt slower than usual.,android,bengaluru,2025-01-13 20:27:54
REV0040,U03625,ORD069921,1,UPI got stuck on processing and the order never confirmed. Had to switch apps for dinner.,web,chennai,2025-01-16 05:31:41
REV0026,U02353,ORD071759,2,Money was debited from my bank app but ZaikaNow still showed payment failed.,ios,mumbai,2025-01-21 06:32:30
REV0032,U05795,ORD072471,1,Payment confirmation is broken on Android. Tried twice from Bengaluru and both attempts timed out.,web,bengaluru,2025-01-22 10:05:18
REV0038,U00320,ORD072220,4,Food was good but checkout felt slower than usual.,ios,hyderabad,2025-01-23 02:59:39
REV0036,U00499,ORD073758,2,Money was debited from my bank app but ZaikaNow still showed payment failed.,android,mumbai,2025-01-26 00:10:41
REV0027,U01394,ORD073480,1,Payment confirmation is broken on Android. Tried twice from Bengaluru and both attempts timed out.,android,pune,2025-01-26 01:58:13
REV0031,U04268,ORD073338,2,Money was debited from my bank app but ZaikaNow still showed payment failed.,android,chennai,2025-01-26 16:29:01
REV0037,U06335,ORD073859,1,Payment confirmation is broken on Android. Tried twice from Bengaluru and both attempts timed out.,android,delhi_ncr,2025-01-26 18:19:36
REV0043,U04934,ORD074292,4,Food was good but checkout felt slower than usual.,ios,hyderabad,2025-01-27 15:42:28
REV0029,U03820,ORD074175,2,The app asked me to retry UPI three times. Very frustrating.,android,delhi_ncr,2025-01-28 02:33:52
REV0044,U05973,ORD074255,2,The app asked me to retry UPI three times. Very frustrating.,android,bengaluru,2025-01-28 04:23:42
REV0035,U05267,ORD074832,1,UPI got stuck on processing and the order never confirmed. Had to switch apps for dinner.,ios,pune,2025-01-28 05:44:16
REV0034,U06361,ORD074986,2,The app asked me to retry UPI three times. Very frustrating.,web,mumbai,2025-01-28 22:50:19
REV0039,U06267,ORD075352,2,The app asked me to retry UPI three times. Very frustrating.,android,delhi_ncr,2025-01-30 01:17:42
REV0030,U04189,ORD075620,1,UPI got stuck on processing and the order never confirmed. Had to switch apps for dinner.,android,delhi_ncr,2025-01-31 07:13:22
REV0033,U04141,ORD076290,4,Food was good but checkout felt slower than usual.,android,delhi_ncr,2025-02-01 00:17:15
REV0056,U00310,ORD076731,4,"Card payment worked fine today, but UPI is still flaky for me.",ios,chennai,2025-02-02 15:27:59
REV0046,U02567,ORD077223,1,Still seeing callback timeout after paying through UPI. Support says wait 24 hours.,android,mumbai,2025-02-04 07:39:16
REV0060,U03459,ORD077376,4,"Card payment worked fine today, but UPI is still flaky for me.",ios,mumbai,2025-02-05 04:43:50
REV0045,U02949,ORD077317,2,"UPI works sometimes now, but I still don’t trust whether the order will confirm.",android,pune,2025-02-05 08:46:16
REV0052,U01230,ORD077582,4,"Card payment worked fine today, but UPI is still flaky for me.",android,bengaluru,2025-02-06 02:09:41
REV0049,U05446,ORD077727,2,"UPI works sometimes now, but I still don’t trust whether the order will confirm.",android,bengaluru,2025-02-06 08:56:26
REV0059,U03752,ORD078301,3,"Managed to order after a retry. Better than last week, but not fixed.",web,delhi_ncr,2025-02-07 16:22:45
REV0053,U03236,ORD078563,2,"UPI works sometimes now, but I still don’t trust whether the order will confirm.",android,mumbai,2025-02-08 03:15:16
REV0048,U01551,ORD078440,4,"Card payment worked fine today, but UPI is still flaky for me.",android,chennai,2025-02-08 04:34:40
REV0054,U02230,ORD078472,1,Still seeing callback timeout after paying through UPI. Support says wait 24 hours.,android,delhi_ncr,2025-02-08 08:46:49
REV0057,U05703,ORD078802,2,"UPI works sometimes now, but I still don’t trust whether the order will confirm.",web,bengaluru,2025-02-09 17:14:53
REV0058,U01992,ORD079327,1,Still seeing callback timeout after paying through UPI. Support says wait 24 hours.,ios,hyderabad,2025-02-10 09:26:49
REV0050,U00780,ORD079579,1,Still seeing callback timeout after paying through UPI. Support says wait 24 hours.,android,delhi_ncr,2025-02-10 22:29:47
REV0047,U04524,ORD079564,3,"Managed to order after a retry. Better than last week, but not fixed.",web,mumbai,2025-02-11 22:18:05
REV0055,U05589,ORD079775,3,"Managed to order after a retry. Better than last week, but not fixed.",android,hyderabad,2025-02-13 03:00:11
REV0051,U04745,ORD080877,3,"Managed to order after a retry. Better than last week, but not fixed.",ios,mumbai,2025-02-15 07:28:12
REV0075,U05767,ORD083110,3,"App is faster now, but the earlier failed payments really damaged confidence.",android,delhi_ncr,2025-02-23 06:17:48
REV0069,U02765,ORD083850,2,"Technical issue seems better, but I’ve started ordering less because I don’t trust the payment flow.",android,pune,2025-02-24 22:56:39
REV0070,U05550,ORD085477,1,Shifted most of my weekend orders to Swiggy after repeated UPI failures here.,android,bengaluru,2025-02-28 21:22:47
REV0062,U03856,ORD086223,1,Shifted most of my weekend orders to Swiggy after repeated UPI failures here.,ios,pune,2025-03-03 21:19:57
REV0076,U02479,ORD087982,4,"Food quality is good, but ZaikaNow needs to win back trust after the January issues.",android,delhi_ncr,2025-03-07 22:07:35
REV0068,U04176,ORD089676,4,"Food quality is good, but ZaikaNow needs to win back trust after the January issues.",android,bengaluru,2025-03-13 14:52:29
REV0074,U04313,ORD089667,1,Shifted most of my weekend orders to Swiggy after repeated UPI failures here.,web,mumbai,2025-03-14 05:59:26
REV0065,U00783,ORD089994,2,"Technical issue seems better, but I’ve started ordering less because I don’t trust the payment flow.",android,pune,2025-03-14 08:28:41
REV0073,U01472,ORD089804,2,"Technical issue seems better, but I’ve started ordering less because I don’t trust the payment flow.",android,mumbai,2025-03-15 17:07:39
REV0063,U04553,ORD092827,3,"App is faster now, but the earlier failed payments really damaged confidence.",web,mumbai,2025-03-22 14:31:13
REV0071,U06029,ORD093828,3,"App is faster now, but the earlier failed payments really damaged confidence.",android,bengaluru,2025-03-26 02:15:25
REV0066,U00397,ORD094354,1,Shifted most of my weekend orders to Swiggy after repeated UPI failures here.,android,chennai,2025-03-27 05:57:19
REV0061,U05124,ORD094918,2,"Technical issue seems better, but I’ve started ordering less because I don’t trust the payment flow.",android,chennai,2025-03-29 21:42:27
REV0072,U04577,ORD095439,4,"Food quality is good, but ZaikaNow needs to win back trust after the January issues.",ios,delhi_ncr,2025-03-31 01:07:50
REV0064,U05925,ORD095844,4,"Food quality is good, but ZaikaNow needs to win back trust after the January issues.",web,pune,2025-04-01 02:59:56
REV0067,U06422,ORD095893,3,"App is faster now, but the earlier failed payments really damaged confidence.",android,hyderabad,2025-04-02 05:26:42
